timestamp,totalDataChartBreakdown,totalDataChart
2022/5/21 17:00,0,2665970.3600000073
2022/5/22 17:00,0,2211182.450000001
2022/5/23 17:00,0,1756302.9999999935
2022/5/24 17:00,0,2978503.8899999936
2022/5/25 17:00,0,1166686.0900000008
2022/5/26 17:00,0,1648458.2000000025
2022/5/27 17:00,0,2532126.030000008
2022/5/28 17:00,0,12497754.650000008
2022/5/29 17:00,0,2632300.8799999985
2022/5/30 17:00,0,1507401.8600000055
2022/5/31 17:00,0,2274206.339999995
2022/6/1 17:00,0,1701542.1099999999
2022/6/2 17:00,0,422537.2000000043
2022/6/3 17:00,0,4596427.899999984
2022/6/4 17:00,0,903630.5399999996
2022/6/5 17:00,0,1082840.290000004
2022/6/6 17:00,0,1388427.1800000048
2022/6/7 17:00,1.41,3367466.1200000024
2022/6/8 17:00,225.49,2945972.9900000077
2022/6/9 17:00,423041.58999999997,3092237.1900000134
2022/6/10 17:00,125914.81000000006,2167853.1599999885
2022/6/11 17:00,241894.7699999999,2207028.0099999984
2022/6/12 17:00,360371.81999999995,5611198.769999981
2022/6/13 17:00,207679.19000000018,3412721.430000003
2022/6/14 17:00,414068.51,4795504.700000008
2022/6/15 17:00,110592.66000000015,2857074.929999993
2022/6/16 17:00,81446.89,2555325.250000001
2022/6/17 17:00,119026.01000000001,5725139.7799999975
2022/6/18 17:00,173813.5300000005,1728996.8300000073
2022/6/19 17:00,384975.0799999996,4678055.33
2022/6/20 17:00,275106.29000000004,2842782.8499999885
2022/6/21 17:00,134349.53999999957,1330892.579999994
2022/6/22 17:00,105945.14000000013,1617827.9399999916
2022/6/23 17:00,124470.64000000013,2536714.9200000158
2022/6/24 17:00,115732.35999999987,1292039.7999999914
2022/6/25 17:00,175238.58000000007,1853517.9400000165
2022/6/26 17:00,223723.04000000004,2582804.3399999966
2022/6/27 17:00,117624.2900000005,2195339.8799999966
2022/6/28 17:00,74153.00999999978,2872591.969999991
2022/6/29 17:00,112562.36000000034,47463255.140000015
2022/6/30 17:00,103976.7899999991,5161403.079999986
2022/7/1 17:00,48847.12999999989,1305419.689999987
2022/7/2 17:00,50817.93000000063,829522.9600000087
2022/7/3 17:00,58927.539999999106,2421947.280000006
2022/7/4 17:00,129429.10000000056,2599829.750000018
2022/7/5 17:00,78919.94000000041,2786883.2899999735
2022/7/6 17:00,79532.30999999959,2454586.869999977
2022/7/7 17:00,143237.3499999987,1969501.3500000099
2022/7/8 17:00,29209.459999999963,762462.6400000285
2022/7/9 17:00,27069.520000000484,1229227.1899999902
2022/7/10 17:00,44084.419999999925,1348255.670000011
2022/7/11 17:00,71852.59999999963,1704263.9499999883
2022/7/12 17:00,90434.32,3945779.6499999985
2022/7/13 17:00,125056.25,1780349.8100000038
2022/7/14 17:00,100141.31000000052,1527919.9699999844
2022/7/15 17:00,130136.59000000078,2317587.870000009
2022/7/16 17:00,108350.96999999974,1326664.0499999844
2022/7/17 17:00,279047.9000000004,4176912.8100000145
2022/7/18 17:00,313856.2899999991,14360483.890000023
2022/7/19 17:00,255847.8200000003,8016396.690000007
2022/7/20 17:00,148921.0700000003,2724229.5199999786
2022/7/21 17:00,212961.16999999993,3316739.0199999874
2022/7/22 17:00,93596.55999999959,1706830.8300000078
2022/7/23 17:00,103048.11000000034,1531754.0900000203
2022/7/24 17:00,170731.3799999999,2414088.5199999777
2022/7/25 17:00,118887,2925886.5700000473
2022/7/26 17:00,137691.29000000004,2139796.1899999874
2022/7/27 17:00,441566.2899999991,13778514.149999987
2022/7/28 17:00,178563.48000000045,3237216.570000016
2022/7/29 17:00,208703.55000000075,4037055.329999961
2022/7/30 17:00,398398.7399999993,5382600.67
2022/7/31 17:00,135549.5,4779864.249999971
2022/8/1 17:00,311780.5,17492815.369999997
2022/8/2 17:00,473324.7699999977,4988305.609999988
2022/8/3 17:00,155387.91000000015,2254200.620000016
2022/8/4 17:00,148204.73000000045,2953679.370000022
2022/8/5 17:00,127306.62999999896,2210163.2899999544
2022/8/6 17:00,66702.94000000134,1662081.9300000207
2022/8/7 17:00,192374.47999999858,2773252.319999994
2022/8/8 17:00,173983.16,3231923.8399999673
2022/8/9 17:00,218371.81999999844,4558841.310000023
2022/8/10 17:00,220427.72000000067,4004926.8999999585
2022/8/11 17:00,146024.5,2600547.480000031
2022/8/12 17:00,132440.86999999918,3508455.589999972
2022/8/13 17:00,115524.99000000022,2579997.499999959
2022/8/14 17:00,145492.2899999991,2148311.4100000225
2022/8/15 17:00,124513.54999999888,1968246.3999999892
2022/8/16 17:00,159807.5500000026,2150819.700000027
2022/8/17 17:00,152567.0399999991,4171170.549999995
2022/8/18 17:00,509232.76999999955,7534028.169999992
2022/8/19 17:00,268925.16999999806,3520111.5600000266
2022/8/20 17:00,193316.08999999985,2664359.0100000035
2022/8/21 17:00,269655.91000000015,3380072.080000001
2022/8/22 17:00,132977.76999999955,2050148.1199999945
2022/8/23 17:00,153045.72000000253,2472462.749999972
2022/8/24 17:00,85325.30999999866,3266906.160000004
2022/8/25 17:00,193121.97000000067,2070487.670000014
2022/8/26 17:00,113700.59999999963,2229261.9899999825
2022/8/27 17:00,115118.41999999993,1449805.5899999943
2022/8/28 17:00,117277.62000000104,16076287.109999998
2022/8/29 17:00,219637.1400000006,3073437.909999988
2022/8/30 17:00,141847.1400000006,1951963.530000057
2022/8/31 17:00,87456.12999999896,1433840.9000000032
2022/9/1 17:00,186125.3900000006,2737313.0799999526
2022/9/2 17:00,44168.169999999925,901343.7100000549
2022/9/3 17:00,106116.45000000112,1512351.8699999833
